    93 2.75467 0.14264  0.15452   7.78 -10.12   516 1272 Gefion       
   255 2.74576 0.12564  0.16173  10.21  -4.32   516 1272 Gefion       
  1272 2.78382 0.12900  0.15669  12.84   0.00   516 1272 Gefion       
  1751 2.78991 0.13207  0.15876  11.86   0.32   516 1272 Gefion       
  1839 2.80003 0.14121  0.15827  11.94   0.83   516 1272 Gefion       
  2053 2.80219 0.12906  0.15304  11.74   1.03   516 1272 Gefion       
  2157 2.78343 0.12902  0.15969  11.91  -0.02   516 1272 Gefion       
  2185 2.70895 0.12509  0.15504  11.43  -4.84   516 1272 Gefion       
  2373 2.79526 0.13493  0.16031  12.26   0.51   516 1272 Gefion       
  2386 2.81426 0.13404  0.15970  11.60   1.82   516 1272 Gefion       
  2493 2.78887 0.13164  0.15859  12.43   0.21   516 1272 Gefion       
  2521 2.79380 0.12648  0.15603  11.56   0.61   516 1272 Gefion       
  2631 2.79768 0.13327  0.15859  11.80   0.76   516 1272 Gefion       
  2801 2.80080 0.13563  0.15660  11.69   0.98   516 1272 Gefion       
  2875 2.79765 0.13992  0.16363  12.11   0.66   516 1272 Gefion       
  2905 2.80383 0.12886  0.15505  11.93   1.03   516 1272 Gefion       
  2911 2.79420 0.13118  0.15762  11.55   0.64   516 1272 Gefion       
  2977 2.78465 0.13489  0.15760  12.34   0.04   516 1272 Gefion       
  3724 2.76392 0.12402  0.15596  11.55  -1.22   516 1272 Gefion       
  3788 2.79231 0.12640  0.15655  12.03   0.42   516 1272 Gefion       
  3860 2.80584 0.12460  0.16006  11.60   1.32   516 1272 Gefion       
  3910 2.79443 0.13609  0.15717  11.80   0.58   516 1272 Gefion       
  3964 2.75701 0.13297  0.15717  12.86  -0.90   516 1272 Gefion       
  4096 2.80968 0.12431  0.15569  12.55   1.00   516 1272 Gefion       
  4182 2.79936 0.13119  0.15635  12.04   0.76   516 1272 Gefion       
  4417 2.75857 0.14494  0.16189  11.87  -1.33   516 1272 Gefion       
  4702 2.79344 0.13175  0.15782  12.44   0.39   516 1272 Gefion       
  5159 2.78914 0.13078  0.15786  12.93   0.17   516 1272 Gefion       
  5401 2.79602 0.13419  0.15990  11.94   0.63   516 1272 Gefion       
  5622 2.80285 0.13980  0.16075  11.97   0.96   516 1272 Gefion       
  5685 2.79970 0.13039  0.15613  11.62   0.94   516 1272 Gefion       
  5712 2.77242 0.13007  0.15937  12.67  -0.42   516 1272 Gefion       
  5823 2.77427 0.12398  0.15902  12.44  -0.39   516 1272 Gefion       
  5955 2.80438 0.12934  0.15131  12.47   0.82   516 1272 Gefion       
  6044 2.77465 0.13554  0.15795  13.20  -0.26   516 1272 Gefion       
  6078 2.80566 0.13175  0.15945  12.59   0.83   516 1272 Gefion       
  6211 2.75624 0.13062  0.16085  12.94  -0.89   516 1272 Gefion       
  6499 2.76295 0.14146  0.15743  12.25  -0.92   516 1272 Gefion       
  6594 2.77926 0.13206  0.15961  12.47  -0.18   516 1272 Gefion       
  6929 2.76622 0.12676  0.16178  12.49  -0.70   516 1272 Gefion       
  7094 2.78153 0.12928  0.15896  12.53  -0.09   516 1272 Gefion       
  7141 2.78687 0.13474  0.15771  13.25   0.09   516 1272 Gefion       
  7176 2.76112 0.12332  0.15224  12.66  -0.83   516 1272 Gefion       
  7211 2.79927 0.13175  0.15692  12.91   0.51   516 1272 Gefion       
  7272 2.78145 0.13144  0.15933  12.51  -0.09   516 1272 Gefion       
  7363 2.75803 0.12966  0.16032  12.65  -0.95   516 1272 Gefion       
  7397 2.78353 0.13215  0.16063  12.63   0.00   516 1272 Gefion       
  7444 2.78594 0.13006  0.15636  13.00   0.07   516 1272 Gefion       
  7451 2.80899 0.13746  0.16201  12.29   1.10   516 1272 Gefion       
  7576 2.78541 0.13353  0.16076  12.53   0.06   516 1272 Gefion       
  7651 2.78447 0.13039  0.15669  12.93   0.02   516 1272 Gefion       
  7735 2.75767 0.12661  0.16335  12.84  -0.88   516 1272 Gefion       
  7957 2.77302 0.13523  0.15878  13.40  -0.28   516 1272 Gefion       
  8074 2.78779 0.12650  0.15239  13.08   0.12   516 1272 Gefion       
  8219 2.78127 0.13049  0.15993  12.43  -0.10   516 1272 Gefion       
  8295 2.78354 0.13025  0.15891  12.65   0.00   516 1272 Gefion       
