"spkid","pdes","diameter","a","albedo","e","i"
20000118,118,40.211,2.438,0.245,0.1634,7.75
20000119,119,57.30,2.58,0.2306,0.0820,5.79
20000120,120,155.132,3.123,0.058,0.0490,6.94
20000121,121,209.00,3.456,0.0482,0.1249,7.57
20000122,122,70.676,3.228,0.297,0.0233,1.64
20000123,123,45.209,2.694,0.261,0.1202,6.41
20000124,124,88.648,2.63,0.128,0.0784,2.96
20000125,125,48.418,2.742,0.182,0.0813,4.67
20000126,126,44.82,2.439,0.1723,0.1052,2.92
20000127,127,122,2.756,0.042,0.0633,8.24
20000128,128,162.515,2.75,0.067,0.1272,6.25
20000129,129,113,2.869,0.151,0.2131,12.27
20000130,130,180.652,3.124,0.086,0.2095,22.78
20000131,131,31.337,2.432,0.246,0.0694,4.96
20000132,132,42.87,2.612,0.1990,0.3869,24.98
20000133,133,72.175,3.071,0.279,0.1320,7.21
20000134,134,108,2.563,0.0364,0.1151,11.61
20000135,135,79.24,2.427,0.1436,0.2083,2.30
20000136,136,36.893,2.288,0.201,0.0846,9.58
20000137,137,128.678,3.124,0.065,0.2110,13.43
20000138,138,52.905,2.45,0.273,0.1617,3.20
20000139,139,151.116,2.785,0.052,0.1701,10.87
20000140,140,109.79,2.732,0.0676,0.2173,3.19
20000141,141,117.916,2.667,0.067,0.2131,11.89
20000142,142,54.812,2.42,0.047,0.1328,2.24
20000143,143,95.377,2.762,0.044,0.0724,11.44
20000144,144,142.38,2.653,0.0597,0.2357,4.82
20000145,145,127.783,2.671,0.061,0.1474,12.62
20000146,146,160.310,2.719,0.036,0.0654,13.10
20000147,147,132.93,3.138,0.0492,0.0222,1.93
20000148,148,97.75,2.77,0.1640,0.1880,25.29
20000149,149,23.719,2.175,0.152,0.0650,0.94
20000150,150,119.128,2.983,0.052,0.1236,2.20
20000151,151,39.037,2.591,0.233,0.0360,6.43
20000152,152,58.964,3.137,0.257,0.0826,12.12
20000153,153,170.63,3.97,0.0618,0.1386,7.83
20000154,154,192.611,3.193,0.044,0.0770,21.02
20000155,155,39.605,2.761,0.027,0.2728,11.36
20000156,156,143.346,2.735,0.030,0.2224,9.77
20000157,157,19.959,2.581,0.173,0.1982,12.16
20000158,158,39.025,2.868,0.213,0.0533,1.01
20000159,159,125.236,3.107,0.064,0.0994,6.11
20000160,160,81.24,2.727,0.0625,0.0658,3.82
20000161,161,40.992,2.381,0.230,0.1371,9.05
20000162,162,97.021,3.015,0.051,0.1828,6.09
20000163,163,81.579,2.366,0.033,0.1920,4.82
20000164,164,100.254,2.632,0.029,0.3464,24.48
20000165,165,180.083,3.127,0.047,0.0836,11.23
20000166,166,52.393,2.687,0.046,0.2104,12.02
20000167,167,39.935,2.854,0.223,0.0371,2.22
20000168,168,145.366,3.373,0.056,0.0746,4.67
20000169,169,37.517,2.358,0.188,0.1301,5.50
20000170,170,33.136,2.555,0.282,0.0614,14.36
20000171,171,130.808,3.128,0.076,0.1327,2.55
20000172,172,62.43,2.38,0.1382,0.1143,10.02
20000173,173,125.821,2.741,0.096,0.2097,14.20
20000174,174,64.849,2.858,0.169,0.1453,12.10
20000175,175,94.532,3.186,0.094,0.2316,3.22
20000176,176,106.976,3.179,0.065,0.1719,22.68
20000177,177,69.049,2.77,0.022,0.2342,1.38
20000178,178,35.81,2.461,0.2438,0.0422,1.89
20000179,179,69.946,2.973,0.198,0.1094,7.82
20000180,180,23.440,2.72,0.242,0.1684,0.87
20000181,181,115.383,3.124,0.101,0.2083,18.90
20000182,182,39.520,2.416,0.196,0.1867,2.01
20000183,183,32.927,2.795,0.227,0.3482,26.39
20000184,184,62.483,3.192,0.215,0.0592,1.13
20000185,185,160.464,2.739,0.062,0.1270,23.25
20000186,186,49.99,2.362,0.1929,0.1493,13.18
20000187,187,147.294,2.729,0.044,0.2396,10.58
20000188,188,35.752,2.762,0.242,0.1787,11.70
20000189,189,38.490,2.452,0.170,0.0369,5.17
20000190,190,159,3.995,0.066,0.1683,6.17
20000191,191,94.536,2.897,0.046,0.0871,11.52
20000192,192,98.776,2.403,0.327,0.2454,6.80
20000193,193,26.302,2.599,0.343,0.2985,11.99
20000194,194,161.667,2.617,0.057,0.2372,18.51
20000195,195,93.109,2.878,0.051,0.0388,6.96
20000196,196,144.626,3.113,0.342,0.0142,7.26
20000197,197,31.729,2.74,0.373,0.1626,8.79
20000198,198,54.323,2.459,0.268,0.2273,9.32
20000199,199,76.129,3.161,0.107,0.1833,15.48
20000200,200,128.301,2.737,0.053,0.1331,6.90
20000201,201,85.877,2.68,0.040,0.1794,5.76
20000202,202,86.15,3.068,0.2562,0.1050,8.85
20000203,203,124.592,2.738,0.036,0.0606,3.17
20000204,204,48.566,2.671,0.194,0.1757,8.27
20000205,205,76.983,2.777,0.061,0.0361,10.71
20000206,206,113,2.74,0.057,0.0402,3.78
20000207,207,57.880,2.285,0.058,0.0287,3.80
20000208,208,40.056,2.893,0.206,0.0112,1.74
20000209,209,179.008,3.147,0.028,0.0542,7.17
20000210,210,86.65,2.721,0.0436,0.1235,5.26
20000211,211,141.125,3.047,0.062,0.1547,3.87
20000212,212,136.12,3.118,0.0465,0.1029,4.28
20000213,213,82.096,2.757,0.092,0.1447,6.81
20000214,214,24.957,2.611,1.000,0.0310,3.44
20000215,215,35.210,2.766,0.243,0.0336,1.68
20000216,216,122,2.795,0.1164,0.2505,13.12
20000217,217,65.392,2.868,0.049,0.3097,10.52
20000218,218,60.62,2.667,0.1746,0.1160,15.20
20000219,219,37.674,2.354,0.189,0.2227,10.86
20000220,220,31.738,2.349,0.055,0.2573,7.60
20000221,221,95.469,3.013,0.166,0.1012,10.89
20000222,222,55.350,3.155,0.128,0.1297,2.14
20000223,223,79.806,3.093,0.020,0.1206,1.92
20000224,224,58.236,2.646,0.166,0.0448,5.84
20000225,225,95.934,3.397,0.062,0.2617,20.85
20000226,226,31.494,2.713,0.352,0.2035,15.97
20000227,227,123.891,3.154,0.065,0.1998,9.08
20000228,228,9.30,2.201,0.2082,0.2422,2.54
20000229,229,105.912,3.423,0.035,0.1362,2.08
20000230,230,111.332,2.383,0.164,0.0612,9.45
20000231,231,73.545,2.918,0.068,0.1572,5.09
20000232,232,54.730,2.556,0.031,0.1719,6.06
20000233,233,99.672,2.659,0.094,0.1015,7.69
20000234,234,45.476,2.385,0.205,0.2459,15.38
20000235,235,57.517,2.881,0.177,0.0604,9.03
20000236,236,77.708,2.8,0.156,0.1898,7.70
20000237,237,41.08,2.762,0.2108,0.0742,9.76
20000238,238,155.659,2.906,0.039,0.0918,12.40
20000239,239,37.609,2.965,0.095,0.2358,6.18
20000240,240,87.928,2.663,0.031,0.2090,2.11
20000241,241,168.90,3.046,0.0575,0.1062,5.52
20000242,242,40.802,2.86,0.222,0.1227,11.35
20000243,243,32,2.86,0.262,0.0449,1.13
20000244,244,11.077,2.175,0.256,0.1368,2.85
20000245,245,75.949,3.095,0.228,0.1975,5.18
20000246,246,50.891,2.696,0.193,0.1077,15.62
20000247,247,130.935,2.74,0.064,0.2465,24.95
20000248,248,50.120,2.471,0.062,0.0679,4.07
20000249,249,34.83,2.377,0.0428,0.2170,9.62
20000250,250,120.995,3.142,0.112,0.1369,12.82
20000251,251,27.495,3.099,0.234,0.0934,10.55
20000252,252,65.344,3.161,0.047,0.0659,10.04
20000253,253,52.8,2.646,0.0436,0.2644,6.74
20000254,254,12.467,2.195,0.170,0.1215,4.51
20000255,255,56.939,2.745,0.038,0.0791,9.46
20000256,256,66.634,3.005,0.050,0.0630,13.29
20000257,257,72.66,3.12,0.0545,0.1124,3.61
20000258,258,64.78,2.614,0.1676,0.2050,14.33
20000259,259,174.318,3.133,0.043,0.1299,10.81
20000260,260,101.539,3.452,0.044,0.1069,6.42
20000261,261,50.011,2.331,0.137,0.0904,3.63
20000262,262,14.645,2.552,0.211,0.2120,7.67
20000263,263,23.952,2.886,0.198,0.0805,1.32
20000264,264,62.969,2.799,0.187,0.1352,10.43
20000265,265,22.767,2.421,0.113,0.2662,25.64
20000266,266,109.494,2.804,0.027,0.1544,13.40
20000267,267,55.998,2.772,0.051,0.1025,6.01
20000268,268,144.585,3.091,0.041,0.1370,2.44
20000269,269,50.728,2.613,0.061,0.2164,5.48
20000270,270,51.400,2.199,0.211,0.1503,2.37
20000271,271,65.901,3.003,0.045,0.1038,3.53
20000272,272,26.870,2.777,0.128,0.0297,4.43
20000273,273,29.768,2.394,0.212,0.1614,20.44
20000274,274,27.307,3.05,0.237,0.1153,3.69
20000275,275,103,2.772,0.049,0.1626,4.76
20000276,276,114.723,3.117,0.051,0.0613,21.66
20000277,277,30.422,2.884,0.196,0.0917,1.17
20000278,278,32.773,2.754,0.247,0.1348,7.83
20000279,279,126.59,4.267,0.0412,0.0441,2.33
20000280,280,45.69,2.941,0.0444,0.1114,7.44
20000281,281,11.036,2.188,0.226,0.1323,5.30
20000282,282,39.03,2.339,0.0502,0.0811,9.04
20000283,283,132.385,3.048,0.023,0.1440,7.99
20000284,284,52.95,2.361,0.0602,0.2214,8.05
20000285,285,47.156,3.088,0.050,0.2035,17.61
20000286,286,94.30,3.195,0.0508,0.0232,17.94
20000287,287,59.615,2.353,0.238,0.0236,10.03
20000288,288,28.981,2.759,0.175,0.2059,4.34
20000289,289,37.586,2.875,0.889,0.2020,6.68
20000290,290,9.822,2.337,0.314,0.2585,22.34
20000291,291,10.456,2.222,0.425,0.0928,1.86
20000292,292,30.864,2.53,0.187,0.0328,14.88
20000293,293,57.486,2.862,0.056,0.1019,15.61
20000294,294,51.865,3.155,0.095,0.2326,6.26
20000295,295,28.340,2.799,0.171,0.1674,2.70
20000296,296,8.196,2.228,0.379,0.1605,1.75
20000297,297,39.48,3.169,0.1796,0.1386,7.55
20000298,298,21.135,2.264,0.131,0.0951,6.28
20000299,299,15.757,2.434,0.251,0.0627,1.61
20000300,300,67.373,3.203,0.052,0.0592,0.73
20000301,301,53.042,2.724,0.057,0.0657,4.90
20000302,302,38.53,2.405,0.0524,0.1106,3.41
20000303,303,124.923,3.125,0.034,0.0561,6.88
20000304,304,65.990,2.402,0.047,0.2225,15.85
20000305,305,47.739,3.087,0.238,0.1972,4.45
20000306,306,47.200,2.357,0.201,0.1521,7.28
20000307,307,61.313,2.906,0.043,0.1431,6.13
20000308,308,128.578,2.749,0.047,0.0385,4.36
20000309,309,41.075,2.664,0.056,0.1164,3.71
20000310,310,33.708,2.761,0.115,0.1171,3.17
20000311,311,26.300,2.898,0.322,0.0062,3.22
20000312,312,46.191,2.782,0.230,0.1603,9.03
20000313,313,71.183,2.375,0.044,0.1808,11.64
