,id,m,c_param,fam_num,par_num,name,pdes,H,diameter,albedo,rot_per,BV,UB,IR,spec_B,spec_T,e,a,q,i
259,43849,14.43,-0.03,516,1272,Gefion,43849,14.85,,,,,,,,,0.1539,2.784,2.355,8.94
260,43920,13.17,-0.75,516,1272,Gefion,43920,13.51,,,,,,,,,0.103,2.758,2.474,10.27
261,44222,13.77,-0.26,516,1272,Gefion,44222,14.16,4.667,0.223,,,,,,,0.1031,2.771,2.485,7.94
262,44241,14.08,-0.29,516,1272,Gefion,44241,14.36,4.989,0.163,,,,,,,0.1072,2.768,2.471,9.07
263,44263,14.05,-0.69,516,1272,Gefion,44263,14.42,4.028,0.329,3.54484,,,,,,0.141,2.749,2.362,8.35
264,44308,14.18,-0.35,516,1272,Gefion,44308,14.48,3.801,0.244,,,,,,,0.1239,2.765,2.423,10.1
265,44368,14.34,-0.71,516,1272,Gefion,44368,14.7,,,,,,,,,0.152,2.743,2.326,8.56
266,44398,14.66,-0.5,516,1272,Gefion,44398,15.06,,,,,,,,,0.1261,2.749,2.403,8.95
267,44461,13.82,-0.52,516,1272,Gefion,44461,14.26,4.174,0.279,3.59104,,,,,,0.1308,2.76,2.399,8.67
268,44467,14.29,0.15,516,1272,Gefion,44467,14.67,,,,,,,,,0.148,2.794,2.38,8.78
269,45016,13.96,-0.69,516,1272,Gefion,45016,14.31,3.717,0.321,2.87,,,,,,0.0904,2.75,2.501,10.17
270,45123,13.29,-0.1,516,1272,Gefion,45123,13.67,5.137,0.32,5.33,,,,,,0.1207,2.781,2.445,8.2
271,45139,13.3,-0.71,516,1272,Gefion,45139,13.63,4.857,0.358,,,,,,,0.1284,2.758,2.404,10.19
272,45204,14.08,0.05,516,1272,Gefion,45204,14.53,3.911,0.29,,,,,,,0.1167,2.788,2.463,8.3
273,45211,14.44,-0.02,516,1272,Gefion,45211,14.82,2.951,0.256,,,,,,,0.104,2.783,2.494,9.35
274,45239,14.22,-0.34,516,1272,Gefion,45239,14.58,3.804,0.307,,,,,,,0.1394,2.766,2.381,10.09
275,45275,14.24,-0.03,516,1272,Gefion,45275,14.66,3.008,0.372,,,,,,,0.1006,2.782,2.502,7.88
276,45336,14.65,0.14,516,1272,Gefion,45336,14.93,2.966,0.349,,,,,,,0.1016,2.794,2.51,8.08
277,45340,13.95,-0.34,516,1272,Gefion,45340,14.32,4.067,0.268,4.421,,,,,,0.1396,2.767,2.381,10.45
278,45441,14.18,-0.35,516,1272,Gefion,45441,14.52,3.661,0.251,,,,,,,0.1171,2.765,2.442,8.7
279,45615,15.16,-0.15,516,1272,Gefion,45615,15.53,,,,,,,,,0.1556,2.772,2.341,9.25
280,45729,13.4,0.46,516,1272,Gefion,45729,13.74,4.832,0.275,,,,,,,0.1506,2.803,2.381,9.2
281,45744,14.0,-0.51,516,1272,Gefion,45744,14.28,3.878,0.389,,,,,,,0.1409,2.758,2.369,10.18
282,45765,13.38,0.29,516,1272,Gefion,45765,13.81,4.106,0.457,,,,,,,0.1531,2.795,2.367,8.7
283,45786,14.5,-0.37,516,1272,Gefion,45786,14.94,,,4.36,,,,,,0.1076,2.764,2.467,9.25
284,45921,13.6,-0.26,516,1272,Gefion,45921,13.88,,,3.307,,,,,,0.1344,2.773,2.401,10.15
285,46135,14.04,-0.51,516,1272,Gefion,46135,14.41,4.392,0.21,54.5776,,,,,,0.1481,2.758,2.349,8.11
286,46140,13.88,-0.57,516,1272,Gefion,46140,14.28,4.419,0.249,6.00498,,,,,,0.0918,2.756,2.503,8.4
287,46166,14.53,-0.43,516,1272,Gefion,46166,14.9,,,30.4017,,,,,,0.1071,2.756,2.461,8.14
288,46203,14.79,-0.36,516,1272,Gefion,46203,15.17,,,,,,,,,0.152,2.757,2.338,9.04
289,46259,14.12,-0.4,516,1272,Gefion,46259,14.43,3.405,0.349,,,,,,,0.1466,2.762,2.357,10.44
290,47054,14.13,-0.27,516,1272,Gefion,47054,14.47,3.495,0.331,,,,,,,0.1279,2.77,2.415,10.19
291,47058,14.28,-0.25,516,1272,Gefion,47058,14.58,,,,,,,,,0.1521,2.77,2.349,8.34
292,47323,14.35,-1.03,516,1272,Gefion,47323,14.75,2.804,0.356,,,,,,,0.1041,2.721,2.438,9.81
293,47485,13.66,-0.49,516,1272,Gefion,47485,13.96,4.478,0.266,2.892,,,,,,0.1049,2.762,2.473,10.23
294,47510,13.81,0.11,516,1272,Gefion,47510,14.16,4.204,0.275,,,,,,,0.1105,2.789,2.481,10.04
295,47514,13.67,-0.44,516,1272,Gefion,47514,14.14,4.574,0.233,,,,,,,0.1451,2.764,2.363,10.26
296,47531,13.43,-0.33,516,1272,Gefion,47531,13.74,4.959,0.313,,,,,,,0.0978,2.77,2.499,10.04
297,47533,13.61,-0.68,516,1272,Gefion,47533,13.99,,,,,,,,,0.1023,2.754,2.472,8.93
298,47563,14.1,0.35,516,1272,Gefion,47563,14.5,3.179,0.4,14.8307,,,,,,0.0848,2.802,2.564,9.27
299,47657,13.64,0.26,516,1272,Gefion,47657,13.99,4.402,0.455,,,,,,,0.0996,2.795,2.517,8.15
300,47776,13.77,-0.57,516,1272,Gefion,47776,14.15,,,,,,,,,0.1459,2.757,2.355,8.86
301,47816,13.7,0.61,516,1272,Gefion,47816,14.16,4.034,0.299,,,,,,,0.1513,2.813,2.387,9.72
302,47884,14.41,-0.46,516,1272,Gefion,47884,14.77,,,,,,,,,0.1489,2.756,2.345,9.39
303,47921,13.78,-0.2,516,1272,Gefion,47921,14.1,,,,,,,,,0.1386,2.774,2.389,8.88
304,47929,13.7,0.34,516,1272,Gefion,47929,14.13,,,,,,,,,0.1022,2.798,2.512,8.01
305,48308,14.27,0.52,516,1272,Gefion,48308,14.72,3.781,0.258,,,,,,,0.1514,2.815,2.389,7.85
306,48543,13.54,-0.69,516,1272,Gefion,48543,13.86,5.075,0.189,6.56127,,,,,,0.153,2.755,2.333,9.38
307,48552,14.62,-0.07,516,1272,Gefion,48552,15.07,,,,,,,,,0.1169,2.778,2.453,9.79
308,48796,14.77,0.09,516,1272,Gefion,48796,15.15,,,,,,,,,0.1445,2.791,2.387,9.13
309,48798,13.7,-0.42,516,1272,Gefion,48798,14.14,4.201,0.315,4.53721,,,,,,0.1331,2.765,2.397,8.36
310,49117,13.57,-0.08,516,1272,Gefion,49117,13.88,4.67,0.322,,,,,,,0.1345,2.781,2.407,9.29
311,49449,14.49,0.0,516,1272,Gefion,49449,14.93,,,,,,,,,0.1186,2.782,2.452,10.39
312,49494,14.14,-0.25,516,1272,Gefion,49494,14.56,,,,,,,,,0.1312,2.768,2.405,10.26
313,49506,14.62,0.43,516,1272,Gefion,49506,15.01,,,,,,,,,0.0949,2.811,2.544,9.74
314,49551,14.3,-0.55,516,1272,Gefion,49551,14.73,,,,,,,,,0.1038,2.75,2.465,9.94
315,49562,14.01,0.36,516,1272,Gefion,49562,14.42,,,,,,,,,0.1517,2.802,2.377,9.69
316,49902,14.41,-0.44,516,1272,Gefion,49902,14.87,3.019,0.307,,,,,,,0.084,2.756,2.525,10.08
317,50129,14.24,-0.59,516,1272,Gefion,50129,14.54,3.089,0.353,3.002,,,,,,0.0923,2.75,2.496,10.06
318,50266,13.8,-0.7,516,1272,Gefion,50266,14.28,3.798,0.37,,,,,,,0.1186,2.75,2.424,10.22
319,50339,14.38,-0.49,516,1272,Gefion,50339,14.84,6.413,0.075,,,,,,,0.1185,2.753,2.427,9.34
320,50350,13.75,-0.88,516,1272,Gefion,50350,14.11,,,5.75,,,,,,0.1297,2.743,2.387,8.32
321,50390,14.29,0.34,516,1272,Gefion,50390,14.61,3.4,0.266,,,,,,,0.0873,2.802,2.557,9.95
322,50444,14.41,-0.91,516,1272,Gefion,50444,14.86,3.144,0.258,,,,,,,0.1199,2.728,2.401,8.22
323,50534,13.79,-0.29,516,1272,Gefion,50534,14.08,4.631,0.249,,,,,,,0.1428,2.77,2.374,9.72
324,50649,13.55,-1.23,516,1272,Gefion,50649,13.99,,,,,,,,,0.149,2.733,2.326,8.71
325,50659,14.02,0.55,516,1272,Gefion,50659,14.42,3.912,0.318,4.41465,,,,,,0.0896,2.813,2.561,7.75
326,50678,14.26,-0.57,516,1272,Gefion,50678,14.59,3.076,0.324,,,,,,,0.0915,2.753,2.501,10.21
327,50793,14.13,-0.51,516,1272,Gefion,50793,14.59,,,,,,,,,0.1057,2.755,2.464,10.04
328,51246,14.57,-0.18,516,1272,Gefion,51246,15.04,,,,,,,,,0.1524,2.771,2.349,9.53
329,51268,14.28,-0.28,516,1272,Gefion,51268,14.65,,,,,,,,,0.0939,2.766,2.507,9.77
330,51828,13.62,-0.24,516,1272,Gefion,51828,13.99,5.549,0.19,3.61,,,,,,0.132,2.772,2.406,9.46
331,51931,14.26,-0.21,516,1272,Gefion,51931,14.77,3.628,0.256,,,,,,,0.0976,2.771,2.5,8.04
332,51995,14.12,0.13,516,1272,Gefion,51995,14.73,,,8.938,,,,,,0.1118,2.789,2.477,8.39
333,52258,14.88,-0.53,516,1272,Gefion,52258,15.37,,,,,,,,,0.129,2.744,2.39,8.27
334,52639,13.63,-0.36,516,1272,Gefion,52639,14.06,4.229,0.327,,,,,,,0.0961,2.768,2.502,9.98
335,52957,13.78,-1.01,516,1272,Gefion,52957,14.1,4.172,0.255,,,,,,,0.1438,2.738,2.344,10.14
336,53149,14.58,-0.86,516,1272,Gefion,53149,14.98,,,,,,,,,0.108,2.729,2.434,8.12
337,53189,14.11,-0.24,516,1272,Gefion,53189,14.54,3.842,0.274,,,,,,,0.1188,2.771,2.442,10.42
338,53294,13.61,-0.31,516,1272,Gefion,53294,14.02,4.58,0.306,7.4,,,,,,0.0949,2.772,2.509,9.32
339,53749,14.2,-0.5,516,1272,Gefion,53749,14.65,3.238,0.293,,,,,,,0.122,2.755,2.419,9.11
340,53803,14.39,-0.24,516,1272,Gefion,53803,14.77,3.119,0.262,,,,,,,0.0876,2.769,2.527,9.91
341,53853,14.92,-0.93,516,1272,Gefion,53853,15.23,,,,,,,,,0.0986,2.711,2.444,9.87
342,53996,14.69,-0.18,516,1272,Gefion,53996,15.24,2.848,0.262,,,,,,,0.1015,2.771,2.49,10.19
343,54308,14.35,-0.42,516,1272,Gefion,54308,14.7,,,,,,,,,0.1287,2.757,2.402,10.38
344,54405,14.14,-0.58,516,1272,Gefion,54405,14.52,3.154,0.213,,,,,,,0.1305,2.755,2.396,9.56
345,54449,14.19,0.24,516,1272,Gefion,54449,14.61,,,,,,,,,0.0891,2.796,2.547,9.69
346,54450,14.64,-0.62,516,1272,Gefion,54450,15.02,,,,,,,,,0.1067,2.745,2.452,8.54
347,54490,13.88,-0.02,516,1272,Gefion,54490,14.31,3.974,0.308,,,,,,,0.1146,2.784,2.465,8.86
348,54519,14.61,-0.1,516,1272,Gefion,54519,15.03,,,,,,,,,0.1327,2.782,2.413,10.52
349,54611,14.37,-0.61,516,1272,Gefion,54611,14.81,3.531,0.225,,,,,,,0.1074,2.751,2.455,9.64
350,54839,13.5,0.06,516,1272,Gefion,54839,13.83,5.082,0.188,,,,,,,0.1523,2.785,2.361,8.23
351,54987,15.01,-0.21,516,1272,Gefion,54987,15.37,,,,,,,,,0.1536,2.766,2.341,9.2
352,55499,13.67,-0.18,516,1272,Gefion,55499,14.14,4.612,0.251,,,,,,,0.153,2.78,2.355,9.91
353,55536,14.7,-0.49,516,1272,Gefion,55536,15.08,,,,,,,,,0.0895,2.75,2.504,8.75
354,56095,14.07,-0.27,516,1272,Gefion,56095,14.39,4.206,0.251,,,,,,,0.0961,2.769,2.503,9.66
355,56834,14.04,-0.54,516,1272,Gefion,56834,14.44,,,6.916,,,,,,0.0923,2.757,2.503,8.1
356,56940,13.9,-0.13,516,1272,Gefion,56940,14.25,,,,,,,,,0.1056,2.78,2.486,9.12
357,56972,14.62,0.09,516,1272,Gefion,56972,15.04,,,4.77128,,,,,,0.1111,2.794,2.483,8.91
358,57630,14.12,-0.28,516,1272,Gefion,57630,14.58,3.323,0.305,,,,,,,0.1553,2.769,2.339,10.27
359,57879,14.84,-0.44,516,1272,Gefion,57879,15.18,,,,,,,,,0.1513,2.755,2.338,9.46
360,57908,13.93,-0.22,516,1272,Gefion,57908,14.3,4.13,0.26,,,,,,,0.1339,2.773,2.402,8.74
361,58221,14.15,-0.21,516,1272,Gefion,58221,14.5,,,,,,,,,0.1119,2.773,2.462,9.89
362,58785,13.84,-0.46,516,1272,Gefion,58785,14.23,,,75.7327,,,,,,0.1417,2.761,2.37,9.7
363,58816,14.55,-0.56,516,1272,Gefion,58816,14.96,,,,,,,,,0.1122,2.746,2.438,9.61
364,58836,14.68,0.03,516,1272,Gefion,58836,15.14,,,,,,,,,0.1095,2.786,2.481,9.11
365,59182,14.76,-0.53,516,1272,Gefion,59182,15.18,,,,,,,,,0.1294,2.744,2.388,9.87
366,59404,13.83,-0.25,516,1272,Gefion,59404,14.21,4.834,0.158,,,,,,,0.0971,2.772,2.503,9.77
367,59594,14.48,-0.35,516,1272,Gefion,59594,14.88,,,25.1032,,,,,,0.1464,2.761,2.357,10.45
368,59645,14.79,-0.32,516,1272,Gefion,59645,15.14,,,,,,,,,0.0906,2.764,2.513,9.14
369,59700,14.2,-0.78,516,1272,Gefion,59700,14.59,,,,,,,,,0.1085,2.739,2.442,8.45
370,59717,15.29,-0.18,516,1272,Gefion,59717,15.66,,,,,,,,,0.1078,2.771,2.472,9.09
371,59740,14.38,-0.63,516,1272,Gefion,59740,14.78,,,,,,,,,0.1187,2.745,2.419,8.43
372,59872,14.87,-0.62,516,1272,Gefion,59872,15.14,,,,,,,,,0.1525,2.736,2.318,9.4
373,60644,14.62,-0.68,516,1272,Gefion,60644,15.05,,,,,,,,,0.1199,2.737,2.409,9.93
374,60655,14.4,-0.2,516,1272,Gefion,60655,14.73,3.329,0.253,,,,,,,0.1139,2.77,2.455,10.0
375,60768,14.34,-0.76,516,1272,Gefion,60768,14.83,,,,,,,,,0.1056,2.738,2.449,8.82
376,60833,14.78,-0.35,516,1272,Gefion,60833,15.08,2.841,0.24,,,,,,,0.0913,2.757,2.506,8.28
377,61154,13.98,-0.24,516,1272,Gefion,61154,14.5,,,,,,,,,0.1527,2.771,2.348,8.05
378,61290,13.67,0.44,516,1272,Gefion,61290,14.07,4.579,0.254,,,,,,,0.1387,2.803,2.415,8.25
379,61369,14.01,-0.32,516,1272,Gefion,61369,14.46,,,3.78913,,,,,,0.1537,2.766,2.341,8.79
380,61725,13.93,-0.59,516,1272,Gefion,61725,14.31,,,,,,,,,0.0957,2.755,2.491,9.85
381,61748,14.26,0.03,516,1272,Gefion,61748,14.71,3.33,0.304,,,,,,,0.0985,2.787,2.513,7.8
382,61927,14.33,-0.42,516,1272,Gefion,61927,14.7,,,,,,,,,0.1154,2.759,2.441,8.61
383,61974,14.57,-0.48,516,1272,Gefion,61974,14.98,,,,,,,,,0.1008,2.753,2.475,8.57
384,61992,14.43,-0.69,516,1272,Gefion,61992,14.82,,,,,,,,,0.1445,2.74,2.344,8.75
385,62320,14.95,-0.67,516,1272,Gefion,62320,15.38,2.759,0.122,33.2706,,,,,,0.1247,2.73,2.39,9.58
386,62484,14.19,-0.06,516,1272,Gefion,62484,14.59,,,,,,,,,0.1524,2.78,2.356,10.49
387,62722,14.57,-0.57,516,1272,Gefion,62722,15.05,,,,,,,,,0.1238,2.745,2.405,10.02
388,63082,14.11,-0.21,516,1272,Gefion,63082,14.63,,,,,,,,,0.123,2.772,2.431,8.23
389,63421,14.8,-0.95,516,1272,Gefion,63421,15.14,2.398,0.233,,,,,,,0.1295,2.716,2.364,8.21
390,63526,14.6,-0.92,516,1272,Gefion,63526,14.84,,,,,,,,,0.0939,2.724,2.468,7.99
391,64155,14.53,-0.48,516,1272,Gefion,64155,15.0,,,,,,,,,0.1499,2.752,2.339,8.35
392,64219,14.07,-0.33,516,1272,Gefion,64219,14.35,,,,,,,,,0.1456,2.766,2.363,10.3
393,64976,15.11,-0.12,516,1272,Gefion,64976,15.52,,,,,,,,,0.1079,2.774,2.475,9.21
394,65069,14.78,-0.46,516,1272,Gefion,65069,15.19,,,,,,,,,0.1374,2.749,2.372,10.51
395,65294,14.28,-0.52,516,1272,Gefion,65294,14.77,3.354,0.249,,,,,,,0.1083,2.755,2.457,8.84
396,65310,14.71,0.24,516,1272,Gefion,65310,15.15,,,,,,,,,0.1176,2.799,2.47,9.49
397,65627,14.55,-0.24,516,1272,Gefion,65627,14.9,,,,,,,,,0.0949,2.769,2.506,9.98
398,65758,15.05,-0.21,516,1272,Gefion,65758,15.4,,,,,,,,,0.1193,2.765,2.435,9.61
399,66015,14.18,0.35,516,1272,Gefion,66015,14.65,,,10.532,,,,,,0.1519,2.802,2.376,8.69
400,66034,14.11,-0.83,516,1272,Gefion,66034,14.47,4.031,0.36,,,,,,,0.1351,2.741,2.371,8.56
401,66160,13.8,-0.79,516,1272,Gefion,66160,14.25,3.833,0.275,,,,,,,0.101,2.747,2.469,9.8
402,66622,14.85,-0.62,516,1272,Gefion,66622,15.27,,,,,,,,,0.0947,2.737,2.478,8.28
403,66629,14.02,-0.78,516,1272,Gefion,66629,14.38,4.09,0.265,,,,,,,0.1467,2.746,2.343,8.35
404,66713,14.5,-0.66,516,1272,Gefion,66713,14.97,,,,,,,,,0.154,2.743,2.321,9.86
405,66763,14.54,-0.82,516,1272,Gefion,66763,14.9,3.491,0.209,,,,,,,0.0999,2.731,2.458,8.62
406,66779,14.1,-0.4,516,1272,Gefion,66779,14.54,,,,,,,,,0.1366,2.762,2.385,10.26
407,66793,14.7,0.04,516,1272,Gefion,66793,15.07,2.639,0.305,,,,,,,0.1126,2.788,2.474,9.63
408,66801,14.35,-0.28,516,1272,Gefion,66801,14.73,,,,,,,,,0.1287,2.766,2.41,8.21
409,66816,14.82,-0.51,516,1272,Gefion,66816,15.17,2.886,0.232,,,,,,,0.1316,2.748,2.386,8.55
410,66833,13.72,-0.22,516,1272,Gefion,66833,14.11,,,4.272,,,,,,0.0931,2.773,2.515,7.93
411,67003,13.86,0.13,516,1272,Gefion,67003,14.26,5.418,0.166,,,,,,,0.154,2.789,2.359,7.75
412,67006,14.58,-0.62,516,1272,Gefion,67006,14.91,3.397,0.243,,,,,,,0.1506,2.744,2.331,10.17
413,67225,14.1,-0.34,516,1272,Gefion,67225,14.63,,,16.6288,,,,,,0.112,2.765,2.456,9.06
414,67349,13.91,-0.68,516,1272,Gefion,67349,14.32,3.844,0.3,,,,,,,0.1395,2.754,2.37,10.06
415,67636,14.08,-0.12,516,1272,Gefion,67636,14.48,,,,,,,,,0.116,2.777,2.455,10.1
416,68204,14.78,-0.35,516,1272,Gefion,68204,15.21,,,3.72,,,,,,0.0877,2.758,2.516,9.49
417,68209,14.29,0.35,516,1272,Gefion,68209,14.64,4.356,0.177,,,,,,,0.1342,2.802,2.426,8.33
418,68232,13.93,-0.06,516,1272,Gefion,68232,14.4,,,,,,,,,0.1328,2.78,2.411,8.49
419,68332,14.52,-0.61,516,1272,Gefion,68332,14.89,2.831,0.204,,,,,,,0.0963,2.744,2.48,10.19
420,68495,14.43,-0.42,516,1272,Gefion,68495,14.73,,,6.459,,,,,,0.098,2.757,2.487,7.84
421,68582,14.59,-0.48,516,1272,Gefion,68582,14.98,,,,,,,,,0.1097,2.749,2.447,9.93
422,68852,14.62,-0.08,516,1272,Gefion,68852,15.16,,,,,,,,,0.1341,2.777,2.405,10.36
423,69219,15.08,-0.32,516,1272,Gefion,69219,15.36,,,,,,,,,0.1147,2.756,2.44,8.58
424,69376,14.16,-0.24,516,1272,Gefion,69376,14.52,3.541,0.268,,,,,,,0.129,2.772,2.415,9.79
425,69757,14.01,0.28,516,1272,Gefion,69757,14.27,3.584,0.239,,,,,,,0.0879,2.799,2.553,7.73
426,69804,14.59,-0.08,516,1272,Gefion,69804,15.03,,,,,,,,,0.1452,2.778,2.375,9.53
427,69816,13.88,-0.06,516,1272,Gefion,69816,14.28,3.558,0.292,,,,,,,0.104,2.78,2.491,9.15
428,69824,14.29,-0.25,516,1272,Gefion,69824,14.68,4.088,0.201,,,,,,,0.1453,2.771,2.368,9.4
429,69829,14.16,-0.21,516,1272,Gefion,69829,14.53,4.636,0.157,,,,,,,0.1444,2.774,2.373,8.83
430,69928,14.14,-0.34,516,1272,Gefion,69928,14.49,3.812,0.133,,,,,,,0.1227,2.766,2.426,9.38
431,69937,14.13,-1.11,516,1272,Gefion,69937,14.53,3.289,0.236,,,,,,,0.1525,2.724,2.308,10.05
432,69963,13.78,-0.53,516,1272,Gefion,69963,14.12,,,,,,,,,0.1325,2.759,2.393,10.1
433,70481,14.76,-0.71,516,1272,Gefion,70481,15.1,2.605,0.26,,,,,,,0.0883,2.732,2.491,9.13
434,70751,13.59,-0.67,516,1272,Gefion,70751,13.79,,,,,,,,,0.1344,2.757,2.387,10.4
435,70870,14.68,-0.58,516,1272,Gefion,70870,15.08,,,,,,,,,0.1266,2.744,2.396,9.58
436,70932,14.64,-0.07,516,1272,Gefion,70932,14.91,3.462,0.134,,,,,,,0.0976,2.78,2.509,8.82
437,71059,14.08,-0.22,516,1272,Gefion,71059,14.44,3.09,0.465,,,,,,,0.1052,2.773,2.481,9.99
438,71146,14.3,-0.36,516,1272,Gefion,71146,14.67,3.217,0.297,,,,,,,0.0917,2.763,2.51,9.31
439,71151,14.68,-0.09,516,1272,Gefion,71151,15.07,2.74,0.31,,,,,,,0.1029,2.778,2.492,8.7
440,71190,14.05,0.61,516,1272,Gefion,71190,14.5,3.164,0.307,,,,,,,0.1234,2.815,2.468,8.76
441,71231,15.21,-0.28,516,1272,Gefion,71231,15.62,,,,,,,,,0.1455,2.761,2.359,8.05
442,71239,13.54,0.3,516,1272,Gefion,71239,13.93,4.492,0.264,,,,,,,0.1169,2.795,2.469,10.2
443,71270,14.4,-0.17,516,1272,Gefion,71270,14.94,,,,,,,,,0.1326,2.775,2.407,8.32
444,71281,14.59,-0.48,516,1272,Gefion,71281,14.84,2.763,0.211,,,,,,,0.0983,2.752,2.481,10.56
445,71358,14.53,-0.7,516,1272,Gefion,71358,15.06,3.47,0.193,,,,,,,0.1096,2.738,2.438,8.08
446,71405,14.47,-0.84,516,1272,Gefion,71405,14.9,3.318,0.193,,,,,,,0.1242,2.731,2.392,8.74
447,71422,14.77,-0.62,516,1272,Gefion,71422,15.15,,,,,,,,,0.1523,2.74,2.323,8.41
448,72244,14.08,-0.8,516,1272,Gefion,72244,14.48,4.131,0.237,,,,,,,0.1047,2.742,2.455,10.3
449,72274,14.38,-0.26,516,1272,Gefion,72274,14.7,3.029,0.334,,,,,,,0.097,2.768,2.5,10.03
450,72395,14.27,0.27,516,1272,Gefion,72395,14.58,3.63,0.255,,,,,,,0.1043,2.797,2.505,9.36
451,72618,14.64,-0.38,516,1272,Gefion,72618,14.97,3.001,0.314,,,,,,,0.1088,2.758,2.458,9.43
452,72693,14.16,-0.4,516,1272,Gefion,72693,14.53,3.284,0.375,2.87,,,,,,0.0851,2.762,2.527,9.24
453,74095,14.65,-0.77,516,1272,Gefion,74095,15.1,,,,,,,,,0.1104,2.732,2.43,8.26
454,74381,15.0,-0.36,516,1272,Gefion,74381,15.46,,,,,,,,,0.11,2.753,2.45,8.07
455,74392,14.57,-0.74,516,1272,Gefion,74392,14.92,,,,,,,,,0.1457,2.734,2.336,7.99
456,74416,14.76,-0.25,516,1272,Gefion,74416,15.14,,,,,,,,,0.1256,2.766,2.419,9.11
457,75513,14.69,-0.37,516,1272,Gefion,75513,15.12,2.314,0.105,,,,,,,0.0882,2.757,2.514,9.0
458,75731,15.05,-0.03,516,1272,Gefion,75731,15.35,,,,,,,,,0.1038,2.782,2.493,10.01
459,75912,15.64,-0.12,516,1272,Gefion,75912,15.83,,,,,,,,,0.1172,2.771,2.446,9.62
460,76086,15.11,-0.17,516,1272,Gefion,76086,15.55,,,,,,,,,0.1533,2.77,2.345,8.52
461,76264,14.37,-0.83,516,1272,Gefion,76264,14.7,2.935,0.356,,,,,,,0.1191,2.733,2.408,9.95
462,76383,13.84,-0.69,516,1272,Gefion,76383,14.25,3.938,0.314,,,,,,,0.1363,2.751,2.376,8.27
463,76489,14.86,-0.64,516,1272,Gefion,76489,15.26,,,,,,,,,0.1166,2.734,2.415,9.25
464,76490,15.39,-0.11,516,1272,Gefion,76490,15.8,,,,,,,,,0.1277,2.773,2.419,9.6
465,76644,14.21,0.32,516,1272,Gefion,76644,14.7,,,,,,,,,0.1328,2.802,2.429,9.64
466,77309,14.44,-0.23,516,1272,Gefion,77309,14.76,3.273,0.181,,,,,,,0.1124,2.77,2.458,8.09
467,77467,14.97,-0.38,516,1272,Gefion,77467,15.34,2.445,0.155,,,,,,,0.0847,2.754,2.521,9.86
468,77487,15.5,-0.18,516,1272,Gefion,77487,15.7,2.141,0.222,72.4181,,,,,,0.0898,2.765,2.517,8.54
469,77496,14.61,-0.62,516,1272,Gefion,77496,14.98,3.226,0.245,,,,,,,0.088,2.742,2.501,9.74
470,77503,14.74,-0.29,516,1272,Gefion,77503,15.17,,,9.725,,,,,,0.0863,2.763,2.525,10.3
471,77607,15.0,-0.47,516,1272,Gefion,77607,15.36,2.426,0.189,,,,,,,0.0932,2.746,2.49,8.7
472,77733,14.21,-0.64,516,1272,Gefion,77733,14.58,3.476,0.211,7.579,,,,,,0.0902,2.748,2.5,7.84
473,78367,14.44,-0.04,516,1272,Gefion,78367,14.79,3.258,0.138,,,,,,,0.1255,2.782,2.433,8.24
474,78438,14.72,-0.57,516,1272,Gefion,78438,15.1,,,,,,,,,0.1207,2.743,2.412,8.52
475,78502,14.47,-0.15,516,1272,Gefion,78502,14.86,3.272,0.261,,,,,,,0.1354,2.774,2.399,8.85
476,78572,14.91,0.06,516,1272,Gefion,78572,15.34,,,,,,,,,0.1191,2.788,2.456,10.07
477,78615,14.23,-0.7,516,1272,Gefion,78615,14.58,4.168,0.194,,,,,,,0.0945,2.743,2.484,10.0
478,78677,14.36,-0.14,516,1272,Gefion,78677,14.78,,,,,,,,,0.0945,2.774,2.512,7.98
479,79869,14.91,0.23,516,1272,Gefion,79869,15.14,,,,,,,,,0.122,2.8,2.458,10.33
480,79872,14.93,-0.7,516,1272,Gefion,79872,15.21,2.535,0.158,,,,,,,0.1378,2.731,2.355,8.47
481,79893,14.73,-0.29,516,1272,Gefion,79893,15.16,,,,,,,,,0.1393,2.762,2.377,8.22
482,79924,14.83,-0.25,516,1272,Gefion,79924,15.18,,,,,,,,,0.1101,2.763,2.459,10.38
483,79949,14.61,-0.53,516,1272,Gefion,79949,15.08,,,,,,,,,0.0936,2.749,2.491,8.97
484,81242,14.68,-0.88,516,1272,Gefion,81242,15.12,2.366,0.548,,,,,,,0.15,2.725,2.316,9.36
485,81360,15.05,-0.26,516,1272,Gefion,81360,15.44,,,,,,,,,0.0937,2.762,2.503,8.57
486,81431,14.18,-0.46,516,1272,Gefion,81431,14.6,3.176,0.334,,,,,,,0.1225,2.758,2.42,9.18
487,81432,14.34,-0.08,516,1272,Gefion,81432,14.72,3.231,0.245,,,,,,,0.1074,2.778,2.48,8.92
488,81660,14.88,-0.38,516,1272,Gefion,81660,15.3,,,,,,,,,0.1049,2.754,2.465,9.5
489,81687,15.21,-0.21,516,1272,Gefion,81687,15.55,2.429,0.189,,,,,,,0.1007,2.764,2.485,10.73
490,81704,14.66,-0.03,516,1272,Gefion,81704,15.07,2.744,0.339,,,,,,,0.1406,2.78,2.389,8.87
491,81778,15.08,-0.35,516,1272,Gefion,81778,15.4,,,,,,,,,0.0871,2.754,2.514,8.94
492,81788,14.76,0.27,516,1272,Gefion,81788,15.15,2.614,0.258,85.0,,,,,,0.11,2.803,2.495,9.01
