,id,m,c_param,fam_num,par_num,name,pdes,H,diameter,albedo,rot_per,BV,UB,IR,spec_B,spec_T,e,a,q,i
86,17979,13.21,0.0,516,1272,Gefion,17979,13.55,,,9.18544,,,,,,0.1378,2.786,2.403,10.23
87,18009,13.66,0.7,516,1272,Gefion,18009,14.07,4.58,0.279,,,,,,,0.0873,2.816,2.57,9.71
88,18098,13.06,-0.66,516,1272,Gefion,18098,13.47,5.631,0.321,,,,,,,0.0858,2.764,2.527,8.61
89,18244,14.75,-0.79,516,1272,Gefion,18244,15.1,,,,,,,,,0.11,2.726,2.426,9.09
90,18338,13.41,-0.12,516,1272,Gefion,18338,13.85,5.011,0.28,7.108,,,,,,0.0956,2.782,2.516,7.9
91,18464,14.07,0.54,516,1272,Gefion,18464,14.46,,,,,,,,,0.145,2.811,2.403,9.06
92,18552,13.38,-0.42,516,1272,Gefion,18552,13.85,4.877,0.296,100.142,,,,,,0.1085,2.768,2.467,10.19
93,18649,13.72,-0.04,516,1272,Gefion,18649,14.06,3.984,0.369,,,,,,,0.1411,2.78,2.388,8.63
94,18725,13.1,-0.74,516,1272,Gefion,18725,13.38,6.048,0.278,,,,,,,0.1319,2.759,2.396,8.82
95,18820,12.88,0.38,516,1272,Gefion,18820,13.23,,,13.1432,,,,,,0.0991,2.797,2.519,9.65
96,18829,13.11,-0.16,516,1272,Gefion,18829,13.59,,,12.276,,,,,,0.1205,2.778,2.443,10.32
97,18902,13.22,-0.31,516,1272,Gefion,18902,13.65,,,,,,,,,0.1551,2.774,2.344,8.77
98,18912,13.79,0.69,516,1272,Gefion,18912,14.14,4.218,0.3,,,,,,,0.1517,2.815,2.388,8.98
99,19273,13.96,0.4,516,1272,Gefion,19273,14.32,3.89,0.293,,,,,,,0.1369,2.803,2.419,10.41
100,19480,13.23,-0.14,516,1272,Gefion,19480,13.6,,,,,,,,,0.1067,2.778,2.482,8.92
101,19613,13.48,-0.5,516,1272,Gefion,19613,13.84,,,,,,,,,0.101,2.764,2.485,8.29
102,19641,13.26,-1.51,516,1272,Gefion,19641,13.65,4.889,0.323,,,,,,,0.1128,2.729,2.422,9.12
103,19674,13.22,0.62,516,1272,Gefion,19674,13.58,4.591,0.44,,,,,,,0.1552,2.804,2.369,9.32
104,19698,12.61,0.59,516,1272,Gefion,19698,12.91,7.115,0.318,5.381,,,,,,0.0877,2.8,2.554,8.92
105,19740,13.05,-0.81,516,1272,Gefion,19740,13.41,5.732,0.214,,,,,,,0.0871,2.757,2.517,10.29
106,19820,14.4,-0.33,516,1272,Gefion,19820,14.84,,,,,,,,,0.118,2.764,2.437,8.72
107,19829,13.11,0.17,516,1272,Gefion,19829,13.43,,,,,,,,,0.0972,2.791,2.52,9.49
108,19834,13.43,-0.37,516,1272,Gefion,19834,13.86,,,3.62905,,,,,,0.0983,2.77,2.498,10.01
109,19897,13.72,-0.78,516,1272,Gefion,19897,14.06,3.972,0.371,,,,,,,0.1386,2.748,2.367,8.23
110,19995,13.25,0.2,516,1272,Gefion,19995,13.57,5.797,0.252,,,,,,,0.1462,2.789,2.381,9.86
111,20087,13.38,0.0,516,1272,Gefion,20087,13.78,5.453,0.216,7.275,,,,,,0.0848,2.783,2.547,9.77
112,20200,13.77,-0.36,516,1272,Gefion,20200,14.28,4.103,0.182,,,,,,,0.1137,2.766,2.452,8.28
113,20385,13.57,-0.14,516,1272,Gefion,20385,14.0,6.115,0.143,4.03663,,,,,,0.1335,2.776,2.405,9.89
114,20684,13.56,-0.05,516,1272,Gefion,20684,13.88,4.652,0.27,,,,,,,0.1008,2.783,2.503,8.65
115,20687,13.78,-1.03,516,1272,Gefion,20687,14.21,3.771,0.285,,,,,,,0.0889,2.737,2.494,9.89
116,20689,13.57,-0.47,516,1272,Gefion,20689,13.92,4.236,0.326,,,,,,,0.1411,2.766,2.376,9.72
117,20817,13.92,-0.38,516,1272,Gefion,20817,14.35,,,80.4198,,,,,,0.1057,2.766,2.473,9.89
118,20847,13.21,-0.62,516,1272,Gefion,20847,13.56,,,7.87456,,,,,,0.1163,2.762,2.441,9.39
119,21246,13.18,-0.07,516,1272,Gefion,21246,13.53,6.629,0.211,,,,,,,0.1148,2.781,2.461,8.16
120,21956,13.88,-0.21,516,1272,Gefion,21956,14.28,4.233,0.188,,,,,,,0.1007,2.774,2.495,9.9
121,22013,13.3,0.04,516,1272,Gefion,22013,13.66,5.766,0.254,6.5,,,,,,0.1186,2.786,2.455,8.15
122,22089,13.43,0.51,516,1272,Gefion,22089,13.92,4.024,0.476,220.119,,,,,,0.0915,2.805,2.549,9.55
123,22259,13.71,-0.54,516,1272,Gefion,22259,14.04,3.718,0.243,,,,,,,0.112,2.76,2.451,10.05
124,23206,13.66,-1.33,516,1272,Gefion,23206,14.07,4.765,0.235,44.1128,,,,,,0.106,2.727,2.438,9.12
125,23287,14.01,0.43,516,1272,Gefion,23287,14.42,3.99,0.279,,,,,,,0.1022,2.806,2.519,8.32
126,23547,13.37,-0.61,516,1272,Gefion,23547,13.75,4.614,0.362,5.798,,,,,,0.1541,2.764,2.338,10.07
127,24173,14.34,0.07,516,1272,Gefion,24173,14.6,3.967,0.214,,,,,,,0.1291,2.79,2.43,8.27
128,24197,13.88,-0.56,516,1272,Gefion,24197,14.3,3.987,0.279,3.08295,,,,,,0.1019,2.757,2.476,8.14
129,24264,13.79,-0.35,516,1272,Gefion,24264,14.12,3.826,0.364,5.5354,,,,,,0.1241,2.769,2.425,9.13
130,24295,13.47,-0.45,516,1272,Gefion,24295,13.87,4.924,0.29,,,,,,,0.112,2.766,2.456,8.31
131,24433,12.72,-0.21,516,1272,Gefion,24433,13.04,6.664,0.335,,,,,,,0.1472,2.777,2.369,10.06
132,24623,13.82,-0.49,516,1272,Gefion,24623,14.13,4.532,0.182,,,,,,,0.1047,2.761,2.472,7.66
133,24784,13.28,0.36,516,1272,Gefion,24784,13.63,4.943,0.263,,,,,,,0.1411,2.798,2.403,9.65
134,24948,13.93,0.51,516,1272,Gefion,24948,14.3,4.173,0.279,,,,,,,0.0934,2.807,2.545,8.37
135,25025,14.29,-0.67,516,1272,Gefion,25025,14.64,3.104,0.366,,,,,,,0.1321,2.746,2.383,8.81
