"spkid","pdes","H","diameter","albedo","rot_per","BV","UB","IR","spec_B","spec_T","e","a","q","i"
20000028,28,7.23,120.90,0.1763,15.706,0.845,0.469,,S,S,0.1490,2.777,2.363,9.42
20000038,38,8.49,92.255,0.055,12.838,0.726,0.419,,Cgh,C,0.1509,2.742,2.328,6.95
20000039,39,5.97,179.484,0.269,5.138,0.898,0.494,,S,S,0.1124,2.77,2.458,10.37
20000055,55,7.84,84.794,0.204,4.804,0.704,0.242,,X,M,0.1450,2.758,2.358,7.18
20000059,59,8.10,165.119,0.044,13.671,0.662,0.285,,B,CP,0.1167,2.714,2.397,8.65
20000093,93,7.90,154.155,0.056,5.982,0.685,0.315,,C,CU,0.1427,2.753,2.360,8.54
20000116,116,7.78,71.70,0.2560,12.028,0.873,0.429,,Sk,S,0.1383,2.769,2.386,3.56
20000128,128,7.67,162.515,0.067,38.9325,0.685,0.392,,C,C,0.1272,2.75,2.400,6.25
20000185,185,7.63,160.464,0.062,21.797,0.668,0.331,,C,C,0.1270,2.739,2.391,23.25
20000200,200,8.45,128.301,0.053,37.394,0.727,0.375,,Ch,C,0.1331,2.737,2.372,6.90
20000210,210,9.38,86.65,0.0436,6.672,0.667,0.248,,Cb,CF,0.1235,2.721,2.385,5.26
20000213,213,9.10,82.096,0.092,12.042,0.650,0.221,,B,F,0.1447,2.757,2.358,6.81
20000264,264,8.31,62.969,0.187,9.2276,0.840,0.419,,S,S,0.1352,2.799,2.420,10.43
20000266,266,8.72,109.494,0.027,13.018,0.707,0.336,,Ch,C,0.1544,2.804,2.371,13.40
20000267,267,10.23,55.998,0.051,7.648,,,,D,DU,0.1025,2.772,2.488,6.01
20000278,278,9.38,32.773,0.247,6.497,,,,S,,0.1348,2.754,2.383,7.83
20000310,310,10.20,33.708,0.115,12.07,,,,S,,0.1171,2.761,2.437,3.17
20000332,332,9.67,40.37,0.1719,8.0074,,,,Xk,,0.0910,2.773,2.521,2.84
20000340,340,9.99,28.025,0.247,8.0062,,,,,S,0.1179,2.746,2.422,4.67
20000346,346,7.32,86.447,0.332,28.523,0.843,0.485,,S,S,0.1029,2.795,2.507,8.76
20000354,354,6.16,148.970,0.201,4.277,0.949,0.601,,Sl,S,0.1118,2.8,2.487,18.36
20000365,365,9.20,86.773,0.050,12.705,0.714,0.331,,C,X,0.1555,2.803,2.367,12.80
20000378,378,9.81,27.831,0.339,4.45,0.874,0.424,,S,S,0.1297,2.776,2.416,7.01
20000403,403,9.04,53.574,0.173,12.283,,,,S,S,0.0981,2.811,2.535,9.16
20000417,417,9.68,54.874,0.072,7.034,0.755,0.357,,Xk,X,0.1353,2.799,2.420,6.65
20000424,424,9.73,102.565,0.027,20.063,,,,,,0.1097,2.772,2.468,8.22
20000446,446,8.86,53.562,0.317,15.7413,1.026,0.615,,A,A,0.1247,2.787,2.440,10.62
20000460,460,10.75,19.689,0.262,164.1,,,,K,,0.1038,2.718,2.436,4.64
20000527,527,10.41,52.627,0.039,42.75,,,,Cb,,0.1519,2.724,2.310,9.66
20000631,631,8.63,50.491,0.229,5.899,0.864,0.439,,S,S,0.0849,2.792,2.555,18.90
20000715,715,10.04,25.458,0.273,11.83,,,,X,,0.0858,2.766,2.529,13.82
20000716,716,10.92,19.768,0.170,15.588,0.860,0.351,,S,S,0.0867,2.812,2.568,8.49
20000729,729,9.57,50.025,0.133,25.23,0.780,0.375,,L,STGD,0.0963,2.759,2.493,18.05
20000739,739,8.86,104.517,0.051,23.92,0.720,0.312,,X,X,0.1427,2.739,2.348,20.66
20000793,793,10.22,26.636,0.196,7.396,0.822,,,S,DU:,0.1232,2.797,2.452,15.78
20000795,795,10.06,85.263,0.027,51.4,,,,C,,0.1001,2.752,2.476,19.03
20000808,808,9.98,30.923,0.213,30.631,,,,Sq,,0.1304,2.746,2.388,4.72
20000824,824,10.23,32.457,0.087,250,0.848,0.410,,L,S,0.1364,2.793,2.412,8.13
20000847,847,10.10,24.931,0.152,14.827,0.856,0.496,,S,S,0.0943,2.783,2.520,2.48
20000858,858,10.41,22.519,0.375,29.639,,,,,S,0.1035,2.811,2.520,8.87
20000860,860,10.04,34.561,0.116,9.386,0.658,0.205,,X,M,0.1087,2.795,2.491,13.30
20000868,868,10.45,50.692,0.056,41.118,0.711,0.362,,Ch,C:,0.1462,2.705,2.309,5.84
20000919,919,11.64,33.500,0.047,5.0325,,,,C,,0.0850,2.773,2.537,8.17
20000966,966,9.96,25.509,0.323,5.355,0.867,0.441,,,S,0.1284,2.723,2.373,14.41
20001002,1002,11.12,22.938,0.147,10.244,,,,,,0.1534,2.788,2.360,10.77
20001007,1007,11.41,18.264,0.145,384.8,,,,K,,0.1089,2.708,2.413,2.54
20001071,1071,10.67,60.862,0.036,5.8169,,,,Xk,,0.1114,2.799,2.488,5.36
20001140,1140,9.96,29.179,0.160,9.77,0.916,,,S,S,0.1099,2.773,2.468,14.12
20001214,1214,11.30,36.668,0.048,9.86,,,,Xk,,0.1171,2.713,2.395,9.84
20001272,1272,12.92,6.965,0.252,3.086,,,,Sl,,0.1504,2.786,2.367,8.41
20001348,1348,11.15,16.290,0.265,8.095,,,,Sl,,0.1387,2.792,2.405,6.59
20001372,1372,11.15,26.491,0.039,15.25,,,,L,,0.1482,2.767,2.357,16.44
20001385,1385,10.84,19.526,0.149,4.62384,,,,S,,0.1076,2.74,2.445,6.92
20001428,1428,10.27,52.464,0.038,16.67,,,,Xc,,0.1416,2.809,2.411,17.31
20001471,1471,11.14,28.719,0.085,6.6,,,,T,,0.1195,2.715,2.391,13.61
20001502,1502,11.49,35.518,0.034,45.8,,,,Xc,,0.0874,2.732,2.494,4.09
20001603,1603,10.94,39.564,0.050,6.426,,,,Ch,,0.0939,2.756,2.497,8.55
20001692,1692,11.42,36.075,0.049,9.2457,,,,Cg,,0.1363,2.787,2.407,2.43
20001716,1716,12.03,26.656,0.044,11.514,,,,C,,0.0929,2.733,2.479,5.74
20001766,1766,12.46,19.099,0.058,7.677,,,,C,,0.0866,2.75,2.512,5.23
20001791,1791,11.86,29.394,0.034,19.809,,,,,,0.1445,2.745,2.349,5.38
20001968,1968,11.84,13.154,0.178,5.2038,,,,S,,0.1113,2.739,2.434,4.59
20001975,1975,12.21,14.737,0.118,11.2768,,,,,,0.1163,2.803,2.477,6.31
20002022,2022,11.88,12.634,0.175,14.14,,,,S,,0.1165,2.706,2.391,5.66
20002042,2042,12.81,,,2.63,,,,Sq,,0.1530,2.753,2.332,5.32
20002053,2053,11.94,11.064,0.251,11.604,,,,S,,0.1411,2.803,2.408,8.51
20002068,2068,11.46,34.322,0.032,,,,,,,0.0983,2.771,2.498,12.91
20002073,2073,13.03,9.754,0.154,3.56,,,,X,,0.1100,2.717,2.418,2.96
20002125,2125,12.09,11.019,0.253,,,,,,,0.1068,2.787,2.489,1.69
20002141,2141,11.66,12.439,0.314,14.9508,,,,Sl,,0.1301,2.804,2.439,5.94
20002157,2157,12.15,13.423,0.170,147.45,,,,S,,0.1103,2.787,2.480,8.61
20002251,2251,11.68,29.488,0.059,5.67,,,,Cb,,0.1478,2.711,2.311,7.44
20002349,2349,11.42,18.801,0.206,8.622,,,,Xc,,0.1185,2.77,2.442,17.48
20002353,2353,11.73,12.564,0.213,62.6,,,,S,,0.1141,2.804,2.484,4.80
20002354,2354,11.95,13.341,0.171,12.958,,,,L,,0.1057,2.731,2.443,3.27
20002444,2444,11.92,29.925,0.050,17.85,,,,C,,0.1307,2.729,2.372,15.12
20002448,2448,11.02,38.519,0.055,10.059,,,,L,,0.1156,2.792,2.470,17.69
20002451,2451,11.88,11.848,0.288,48,,,,S,,0.1520,2.725,2.310,8.59
20002455,2455,12.06,16.099,0.142,2.8287,,,,C,,0.0859,2.728,2.494,7.53
20002504,2504,12.01,10.579,0.301,8.738,,,,Sq,,0.0862,2.764,2.526,4.06
20002507,2507,11.76,16.193,0.273,4.986,,,,Xe,,0.0845,2.779,2.544,10.31
20002521,2521,11.87,,,12,,,,S,,0.0894,2.795,2.545,7.73
20002559,2559,12.63,20.884,0.034,,,,,Xk,,0.1537,2.787,2.359,8.88
20002567,2567,12.00,15.938,0.159,9.7785,,,,Xc,,0.1401,2.737,2.354,8.92
20002570,2570,12.28,24.779,0.038,,,,,,,0.1044,2.768,2.479,16.23
20002595,2595,12.36,14.478,0.111,4.412,,,,,,0.1434,2.787,2.387,9.87
20002715,2715,11.66,13.252,0.204,33.62,,,,A,,0.1510,2.738,2.325,6.74
20002730,2730,11.84,15.830,0.162,6.084,,,,C,,0.1319,2.72,2.361,6.43
20002738,2738,12.62,,,,,,,,,0.1121,2.72,2.415,1.12
20002748,2748,12.56,8.509,0.210,7.60579,,,,S,,0.1329,2.806,2.433,4.22
20002852,2852,12.84,12.871,0.097,4.95673,,,,Ch,,0.0874,2.784,2.541,1.70
20002864,2864,13.10,15.570,0.058,,,,,Ch,,0.1462,2.749,2.347,3.14
20002872,2872,12.30,13.629,0.150,10.624,,,,D,,0.1175,2.742,2.420,2.88
20002875,2875,12.43,9.511,0.282,5.628,,,,S,,0.0996,2.797,2.518,9.03
20002879,2879,12.03,21.762,0.115,18.72,,,,X,,0.1448,2.768,2.367,10.72
20002905,2905,12.07,10.224,0.273,,,,,S,,0.0991,2.802,2.525,8.91
20002911,2911,11.92,12.214,0.358,4.201,,,,S,,0.0955,2.795,2.528,9.61
20002917,2917,12.10,9.553,0.404,,,,,S,,0.1127,2.794,2.479,12.81
20002956,2956,12.38,9.350,0.292,3.4,,,,Sr,,0.0909,2.764,2.513,2.87
20003151,3151,11.62,13.618,0.237,19.454,,,,S,,0.1376,2.764,2.384,19.51
20003256,3256,12.55,20.551,0.037,,,,,X,,0.0974,2.778,2.507,7.83
20003363,3363,12.23,9.365,0.319,3.0219,,,,Sq,,0.0972,2.778,2.508,3.34
20003389,3389,12.67,20.768,0.045,7.539,,,,C,,0.1408,2.772,2.382,7.06
20003406,3406,12.07,16.058,0.224,7.275,,,,X,,0.1328,2.795,2.423,8.39
20003430,3430,12.69,8.492,0.269,,,,,Sq,,0.0978,2.759,2.490,4.43
20003439,3439,12.49,8.762,0.303,5.969,,,,,,0.1372,2.743,2.366,4.73
20003491,3491,12.32,8.001,0.303,9.898,,,,Sq,,0.0936,2.795,2.533,4.02
20003508,3508,12.69,,,,,,,,,0.1135,2.758,2.445,6.63
20003526,3526,12.47,22.055,0.044,,,,,Ch,,0.0923,2.795,2.537,8.47
20003575,3575,12.22,11.735,0.120,6.321,,,,X,,0.1260,2.747,2.401,7.78
20003646,3646,13.20,6.333,0.146,,,,,,,0.1036,2.756,2.471,0.59
20003647,3647,11.63,26.754,0.069,21.779,,,,B,,0.1019,2.801,2.515,8.04
20003664,3664,12.42,9.172,0.303,155.47,,,,,,0.1301,2.797,2.433,3.59
20003686,3686,12.52,17.744,0.059,6.734,,,,X,,0.1478,2.74,2.335,5.73
20003692,3692,13.50,12.405,0.033,7.793,,,,,,0.1481,2.725,2.322,11.40
20003701,3701,12.64,9.013,0.261,,,,,S,,0.0910,2.798,2.543,4.92
20003741,3741,13.34,6.122,0.326,,,,,,,0.1510,2.78,2.360,6.80
20003759,3759,12.04,32.15,0.0297,8.213,,,,X,,0.1162,2.72,2.404,13.05
20003788,3788,12.37,9.799,0.320,18.467,,,,S,,0.1025,2.794,2.508,9.68
20003819,3819,12.08,10.307,0.358,3.7,,,,Sr,,0.1396,2.77,2.384,11.11
20003827,3827,13.18,11.798,0.104,,,,,C,,0.1285,2.74,2.388,4.09
20003844,3844,11.82,15.538,0.168,13.33,,,,L,,0.1054,2.731,2.443,3.83
20003853,3853,12.80,8.058,0.229,541.44,,,,S,,0.1377,2.807,2.421,9.08
20003860,3860,11.72,12.812,0.172,6.114,,,,S,,0.1533,2.809,2.378,8.13
20003886,3886,12.75,18.553,0.033,,,,,C,,0.1030,2.772,2.486,5.06
20003907,3907,11.89,8.581,0.501,3.841,,,,,,0.1195,2.796,2.462,11.00
20003910,3910,11.99,,,4.73,,,,S,,0.1333,2.795,2.423,8.69
20003987,3987,12.29,13.737,0.148,8.037,,,,,,0.1174,2.735,2.414,4.82
20004036,4036,13.12,11.036,0.110,702.453,,,,Cg,,0.1466,2.803,2.392,4.68
20004051,4051,12.74,7.657,0.292,,,,,Sq,,0.1097,2.789,2.483,2.72
20004096,4096,12.91,7.664,0.277,3.79522,,,,Sl,,0.1501,2.81,2.388,9.07
20004182,4182,12.33,10.397,0.215,3.0179,,,,Sr,,0.1350,2.797,2.419,8.07
20004261,4261,13.09,6.688,0.288,,,,,Sq,,0.1104,2.793,2.485,2.66
20004277,4277,12.89,10.288,0.152,200.899,,,,,,0.1380,2.725,2.348,10.64
20004325,4325,12.77,9.247,0.188,5.30406,,,,,,0.0974,2.749,2.481,5.76
20004342,4342,12.66,19.180,0.051,,,,,Xc,,0.0898,2.766,2.517,6.08
20004417,4417,12.21,11.100,0.360,3.1758,,,,S,,0.1057,2.758,2.466,9.01
20004479,4479,13.12,6.883,0.310,2.89,,,,S,,0.0992,2.757,2.484,5.31
20004649,4649,11.52,15.168,0.207,26.31,,,,S,,0.1203,2.745,2.414,15.41
20004662,4662,13.30,16.587,0.041,,,,,,,0.1070,2.795,2.496,6.07
20004701,4701,13.27,14.462,0.046,,,,,Xe,,0.1380,2.706,2.332,3.67
20004702,4702,12.68,8.478,0.345,,,,,S,,0.0927,2.794,2.535,9.36
20004917,4917,12.99,8.410,0.142,4.17744,,,,Ld,,0.1107,2.74,2.437,3.71
20005128,5128,12.97,18.325,0.065,5.86,,,,,,0.1433,2.768,2.371,6.95
20005146,5146,12.89,13.230,0.075,,,,,,,0.1546,2.743,2.319,13.89
20005159,5159,13.30,6.388,0.299,,,,,S,,0.1110,2.789,2.479,9.25
20005222,5222,11.57,17.989,0.202,9.72,,,,B,,0.1448,2.774,2.373,34.55
20005239,5239,12.82,10.477,0.174,,,,,,,0.1364,2.786,2.406,8.50
20005266,5266,13.76,10.809,0.066,,,,,,,0.1282,2.718,2.370,15.71
20005282,5282,13.33,5.945,0.279,,,,,,,0.1210,2.732,2.401,12.22
20005401,5401,12.35,9.560,0.299,3.949,,,,S,,0.1528,2.795,2.368,10.07
20005450,5450,12.56,20.526,0.050,5.9822,,,,,,0.1202,2.814,2.476,5.24
20005485,5485,13.27,,,,,,,S,,0.1119,2.736,2.429,3.29
20005492,5492,12.51,13.398,0.222,3.3142,,,,L,,0.1373,2.784,2.402,17.59
20005531,5531,13.28,,,,,,,,,0.0949,2.726,2.467,13.15
20005588,5588,12.74,10.931,0.162,7.48356,,,,X,,0.1403,2.785,2.394,12.36
20005591,5591,13.35,17.075,0.038,,,,,Cb,,0.0869,2.779,2.537,4.24
20005632,5632,12.05,13.375,0.230,,,,,Xc,,0.0853,2.744,2.510,18.19
20005636,5636,12.86,7.843,0.218,4.9,,,,,,0.1351,2.762,2.388,2.40
20005685,5685,11.74,12.993,0.240,3.388,,,,S,,0.0935,2.8,2.538,7.70
20005689,5689,13.98,8.651,0.086,,,,,,,0.1116,2.756,2.448,5.01
20005839,5839,11.89,24.675,0.044,6.303,,,,,,0.0852,2.759,2.524,16.95
20005840,5840,12.66,9.730,0.196,,,,,Ld,,0.1034,2.748,2.464,3.35
20005903,5903,13.11,6.565,0.341,485.9,,,,,,0.0942,2.745,2.487,2.10
20005939,5939,13.29,6.048,0.253,,,,,,,0.1403,2.74,2.356,9.35
20005955,5955,12.86,7.450,0.318,,,,,,,0.0949,2.803,2.537,7.93
20005983,5983,13.82,5.686,0.261,57.9507,,,,,,0.1317,2.8,2.431,9.05
20005998,5998,13.02,,,6.5,,,,,,0.1236,2.762,2.420,4.60
20006011,6011,12.98,7.363,0.206,,,,,,,0.1512,2.718,2.307,2.50
20006044,6044,13.58,,,,,,,,,0.1546,2.778,2.348,8.88
20006071,6071,12.37,9.586,0.306,4.437,,,,S,,0.1079,2.709,2.417,11.74
20006077,6077,12.67,8.315,0.280,,,,,Sq,,0.1115,2.79,2.479,4.30
20006104,6104,12.86,8.579,0.240,,,,,,,0.0946,2.706,2.450,2.42
20006190,6190,13.54,9.431,0.095,,,,,,,0.0906,2.812,2.557,1.68
20006211,6211,13.27,5.752,0.444,2.69802,,,,Sr,,0.0940,2.756,2.497,8.54
20006216,6216,13.26,8.033,0.208,,,,,,,0.0997,2.755,2.480,3.77
20006223,6223,12.82,19.634,0.033,3.334,,,,,,0.1188,2.737,2.412,3.85
20006402,6402,12.96,8.628,0.260,,,,,,,0.1181,2.744,2.420,4.54
20006499,6499,12.58,8.922,0.293,6.004,,,,,,0.1404,2.766,2.378,10.06
20006544,6544,13.06,,,,,,,,,0.1120,2.767,2.457,3.38
20006591,6591,13.55,9.825,0.035,,,,,,,0.1236,2.756,2.415,4.52
20006684,6684,13.37,5.144,0.462,,,,,,,0.1372,2.732,2.357,2.80
20006760,6760,13.49,7.504,0.165,,,,,,,0.1048,2.752,2.464,5.75
20006783,6783,13.07,6.278,0.340,,,,,,,0.1475,2.763,2.355,10.42
20006784,6784,13.14,6.188,0.319,11.527,,,,,,0.1141,2.792,2.474,5.11
20006902,6902,13.27,,,73.341,,,,,,0.1008,2.751,2.474,2.09
20006908,6908,13.26,6.443,0.388,,,,,S,,0.0918,2.75,2.497,5.60
20006929,6929,12.74,7.315,0.228,4.248,,,,,,0.1433,2.768,2.371,10.34
20007112,7112,13.35,10.802,0.069,,,,,,,0.1483,2.76,2.351,16.45
20007129,7129,13.38,6.207,0.289,,,,,,,0.1398,2.725,2.344,11.95
20007141,7141,13.64,6.771,0.184,,,,,,,0.0921,2.789,2.532,9.87
20007176,7176,13.10,6.729,0.324,,,,,,,0.1374,2.762,2.382,7.94
20007191,7191,12.52,11.271,0.242,,,,,,,0.1199,2.743,2.414,9.27
20007224,7224,13.81,,,,,,,Sq,,0.1348,2.774,2.400,8.87
20007245,7245,12.73,8.078,0.271,,,,,L,,0.1164,2.766,2.444,5.70
20007272,7272,12.76,8.040,0.273,30.334,,,,,,0.0987,2.785,2.510,9.62
20007282,7282,12.89,14.355,0.086,4.6481,,,,,,0.1320,2.76,2.395,13.13
20007300,7300,12.70,6.612,0.443,,,,,,,0.1383,2.734,2.355,11.81
20007312,7312,13.73,7.974,0.175,,,,,,,0.1321,2.766,2.401,3.21
20007316,7316,14.32,5.422,0.181,,,,,,,0.1196,2.793,2.459,4.82
20007363,7363,12.84,8.271,0.215,,,,,,,0.1206,2.758,2.425,8.94
20007384,7384,13.64,15.203,0.035,,,,,,,0.1097,2.792,2.486,4.35
20007392,7392,12.99,,,,,,,,,0.1253,2.756,2.411,4.93
20007491,7491,13.43,12.935,0.043,,,,,,,0.1199,2.779,2.445,4.46
20007508,7508,14.37,,,,,,,,,0.1028,2.797,2.510,2.63
20007512,7512,13.37,13.734,0.053,26.1508,,,,Ch,,0.1521,2.786,2.362,7.43
20007576,7576,12.85,6.871,0.341,3.085372,,,,,,0.1013,2.784,2.502,9.94
20007595,7595,13.22,15.654,0.050,23.4032,,,,,,0.1451,2.798,2.392,3.04
20007607,7607,13.11,12.396,0.055,,,,,,,0.0840,2.782,2.548,4.47
20007609,7609,12.68,6.922,0.136,,,,,,,0.0861,2.76,2.523,12.81
20007618,7618,13.62,5.685,0.262,2.984,,,,,,0.1146,2.739,2.425,1.74
20007651,7651,13.32,6.515,0.263,132.721,,,,,,0.1403,2.783,2.392,9.23
20007669,7669,13.82,4.737,0.238,,,,,,,0.1453,2.776,2.372,8.36
20007728,7728,12.81,6.495,0.419,11.8,,,,Sq,,0.1092,2.795,2.490,3.40
20007773,7773,13.33,8.125,0.169,,,,,,,0.1425,2.722,2.334,5.70
20007841,7841,13.74,8.852,0.098,,,,,,,0.1081,2.713,2.420,6.61
20007849,7849,14.10,8.361,0.070,,,,,,,0.0961,2.731,2.469,6.02
20007859,7859,13.60,16.00,0.0330,10.166,,,,,,0.1333,2.763,2.395,3.74
20007955,7955,14.00,5.979,0.164,,,,,,,0.1220,2.758,2.422,1.57
20007957,7957,13.79,5.127,0.267,,,,,,,0.1165,2.772,2.449,9.01
20007964,7964,12.72,7.980,0.304,10.224,,,,,,0.0877,2.759,2.517,10.25
20008025,8025,13.09,6.663,0.302,4.089,,,,,,0.1132,2.74,2.430,4.39
20008074,8074,13.59,4.620,0.292,6.77306,,,,,,0.1460,2.789,2.382,7.72
20008181,8181,13.10,10.518,0.121,13.253,,,,,,0.1057,2.748,2.457,5.13
20008197,8197,13.25,,,,,,,,,0.1438,2.782,2.381,7.88
20008283,8283,13.05,7.970,0.232,,,,,,,0.0871,2.81,2.565,10.26
20008292,8292,12.70,12.437,0.084,19.802,,,,,,0.1496,2.724,2.317,14.53
20008333,8333,12.99,,,,,,,Sq,,0.1088,2.738,2.440,8.65
20008334,8334,13.25,7.837,0.181,279.87,,,,S,,0.1004,2.787,2.508,10.14
20008380,8380,12.33,10.019,0.240,36.929,,,,,,0.1554,2.749,2.322,14.03
20008418,8418,13.53,,,,,,,,,0.1126,2.751,2.442,3.09
20008419,8419,13.38,,,4.49,,,,,,0.1021,2.744,2.464,7.54
20008430,8430,13.95,,,,,,,,,0.1029,2.806,2.518,3.67
20008440,8440,13.36,,,,,,,,,0.1404,2.783,2.392,7.75
20008450,8450,13.32,11.191,0.058,,,,,C,,0.0896,2.748,2.502,4.87
20008511,8511,13.18,6.906,0.234,,,,,,,0.1541,2.77,2.343,9.16
20008533,8533,13.29,,,,,,,,,0.0860,2.763,2.525,8.50
20008559,8559,13.38,,,4.072,,,,,,0.1007,2.769,2.491,4.57
20008565,8565,13.26,15.606,0.041,,,,,,,0.1494,2.788,2.371,8.57
20008595,8595,14.36,9.789,0.042,10.13,,,,,,0.1338,2.753,2.385,7.32
20008599,8599,14.49,5.425,0.151,,,,,,,0.0975,2.714,2.449,3.46
20008638,8638,13.24,,,,,,,,,0.1466,2.737,2.336,5.07
20008640,8640,13.73,6.441,0.204,11.1285,,,,,,0.1397,2.747,2.364,5.52
20008659,8659,13.14,7.076,0.322,,,,,,,0.1510,2.781,2.361,8.31
20008762,8762,13.04,,,5.62336,,,,,,0.1460,2.75,2.348,1.84
20008777,8777,13.53,,,240.704,,,,,,0.1310,2.756,2.395,9.87
20008806,8806,13.35,,,,,,,,,0.1333,2.806,2.432,8.75
20008811,8811,14.07,8.751,0.066,,,,,,,0.0921,2.73,2.478,4.03
20008877,8877,14.38,,,,,,,,,0.0906,2.767,2.516,2.58
20008880,8880,13.45,5.204,0.237,3.700931,,,,,,0.0857,2.795,2.556,4.48
20008888,8888,13.31,13.584,0.052,7.22237,,,,,,0.0958,2.709,2.449,14.08
20008909,8909,13.24,6.162,0.353,3.60588,,,,,,0.1354,2.813,2.432,6.45
20009015,9015,13.01,16.530,0.038,,,,,,,0.1241,2.797,2.450,7.12
20009067,9067,12.40,8.059,0.248,,,,,,,0.1511,2.801,2.377,7.67
20009090,9090,12.81,17.625,0.042,5.6477,,,,,,0.0952,2.748,2.486,13.75
20009173,9173,12.69,8.207,0.181,6.06633,,,,,,0.1192,2.791,2.458,8.58
20009208,9208,13.21,7.817,0.219,13.7437,,,,,,0.0986,2.743,2.473,10.43
20009294,9294,13.38,12.798,0.050,,,,,,,0.1122,2.725,2.420,3.62
20009312,9312,13.07,6.525,0.345,,,,,,,0.1118,2.808,2.494,8.03
20009335,9335,13.38,6.430,0.224,500.552,,,,,,0.0916,2.762,2.509,4.81
20009404,9404,13.70,5.735,0.257,,,,,,,0.0906,2.746,2.498,4.97
20009447,9447,13.29,5.864,0.296,,,,,,,0.1467,2.752,2.349,9.87
20009511,9511,13.34,,,4.5833,,,,,,0.1397,2.767,2.381,10.44
20009645,9645,13.66,10.171,0.082,,,,,,,0.1014,2.756,2.477,3.34
20009756,9756,14.16,5.750,0.161,,,,,,,0.1104,2.734,2.432,4.45
20009787,9787,13.78,5.252,0.212,,,,,,,0.1226,2.795,2.452,1.48
20009924,9924,14.25,,,,,,,,,0.0996,2.791,2.513,2.84
20009925,9925,14.27,4.865,0.225,,,,,,,0.0933,2.807,2.545,3.23
20009954,9954,13.63,,,8.78889,,,,,,0.1297,2.759,2.401,9.08
20009983,9983,13.47,7.444,0.167,5.2963,,,,,,0.1171,2.707,2.390,8.31
20010168,10168,15.12,,,,,,,,,0.0838,2.762,2.530,7.41
20010216,10216,13.71,5.850,0.205,,,,,,,0.1412,2.756,2.367,5.70
20010222,10222,13.08,,,29,,,,,,0.1050,2.771,2.480,7.98
20010233,10233,13.44,6.081,0.301,9.78,,,,,,0.0881,2.727,2.487,2.58
20010245,10245,13.37,,,,,,,,,0.0926,2.781,2.523,8.90
20010272,10272,14.85,3.952,0.197,,,,,,,0.1105,2.751,2.447,11.90
20010277,10277,14.16,8.819,0.069,15.334,,,,,,0.0931,2.714,2.461,1.45
20010282,10282,14.96,3.087,0.268,,,,,,,0.0879,2.736,2.496,2.07
20010335,10335,13.86,4.461,0.353,,,,,,,0.1495,2.794,2.376,8.94
20010430,10430,13.55,5.687,0.261,15.577,,,,,,0.0941,2.744,2.485,2.75
20010473,10473,13.80,7.984,0.114,3.749,,,,K,,0.0961,2.716,2.455,2.12
20010511,10511,12.81,7.890,0.284,4.431637,,,,,,0.1384,2.779,2.394,8.80
20010514,10514,13.30,14.536,0.035,,,,,,,0.0960,2.71,2.450,2.95
20010533,10533,13.85,10.789,0.052,17.20735,,,,,,0.0835,2.791,2.558,0.87
20010592,10592,14.05,4.752,0.136,8.069,,,,,,0.1027,2.75,2.467,2.60
20010603,10603,14.12,4.571,0.280,,,,,,,0.1080,2.815,2.511,4.66
20010629,10629,13.96,5.846,0.142,3.95,,,,,,0.1094,2.757,2.456,0.65
20010649,10649,14.65,3.214,0.326,3.07412,,,,,,0.1202,2.815,2.476,8.36
20010652,10652,14.56,,,,,,,,,0.1010,2.73,2.454,5.57
20010662,10662,13.73,6.157,0.154,3.072,,,,,,0.0972,2.766,2.497,4.18
20010670,10670,13.46,11.862,0.056,,,,,,,0.1064,2.747,2.455,5.04
20010748,10748,13.39,14.124,0.056,,,,,,,0.0933,2.728,2.473,9.49
20010805,10805,13.41,,,,,,,,,0.1119,2.709,2.406,14.13
20010882,10882,13.47,,,,,,,,,0.1483,2.761,2.351,5.39
20010912,10912,13.64,8.288,0.135,,,,,,,0.0968,2.799,2.528,6.10
20010913,10913,12.89,,,,,,,,,0.1291,2.798,2.437,8.19
20010917,10917,13.25,7.094,0.221,3.253,,,,,,0.0865,2.772,2.532,4.54
20010969,10969,13.37,,,284.19,,,,,,0.1538,2.797,2.367,8.62
20010970,10970,13.86,,,,,,,,,0.1332,2.718,2.356,1.87
20011164,11164,14.16,9.981,0.054,,,,,,,0.0840,2.799,2.564,3.37
20011178,11178,14.24,6.995,0.091,,,,,,,0.1462,2.772,2.367,12.10
20011199,11199,13.11,6.041,0.403,,,,,,,0.1440,2.766,2.368,8.63
20011202,11202,12.79,9.896,0.165,7.414,,,,,,0.1136,2.739,2.428,2.79
20011213,11213,13.10,14.694,0.075,5.621,,,,,,0.1090,2.719,2.423,8.88
20011243,11243,13.88,5.300,0.274,,,,,,,0.1185,2.78,2.451,3.69
20011366,11366,13.40,7.495,0.181,101.233,,,,,,0.1363,2.742,2.368,16.77
20011368,11368,13.12,7.986,0.210,5.76823,,,,,,0.1318,2.79,2.422,10.16
20011383,11383,13.56,6.384,0.227,,,,,,,0.1097,2.763,2.460,3.02
20011417,11417,15.30,,,,,,,,,0.1040,2.759,2.472,5.06
20011498,11498,14.12,5.882,0.154,,,,,,,0.1541,2.754,2.330,2.35
20011508,11508,13.22,6.625,0.278,3.049,,,,,,0.0992,2.784,2.508,10.11
20011558,11558,14.44,4.005,0.230,,,,,,,0.0876,2.789,2.544,4.30
20011559,11559,14.73,4.901,0.106,,,,,,,0.0887,2.788,2.541,2.31
